New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
68,Class C,Kaya Bernard,Teacher Mary,,,,,,,,,,,,,
69,Class D,Makaila Lam,Teacher Harry,,,,,,,,,,,,,
70,Class D,Sebastian Bray,Teacher Harry,,,,,,,,,,,,,
71,Class D,Kolten Morrison,Teacher Harry,,,,,,,,,,,,,
72,Class D,Tanner Allen,Teacher Harry,,,,,,,,,,,,,
73,Class D,Victor Ortega,Teacher Harry,,,,,,,,,,,,,
74,Class D,Kendall Black,Teacher Harry,,,,,,,,,,,,,
75,Class D,Aden Goodman,Teacher Harry,,,,,,,,,,,,,
76,Class D,Jaxson Love,Teacher Harry,,,,,,,,,,,,,
77,Class D,Sarai Mcneil,Teacher Harry,,,,,,,,,,,,,
78,Class D,Emmalee Sosa,Teacher Harry,,,,,,,,,,,,,
79,Class D,Kristin Bullock,Teacher Harry,,,,,,,,,,,,,
80,Class D,Vincent Brock,Teacher Harry,,,,,,,,,,,,,
81,Class D,Piper Butler,Teacher Harry,,,,,,,,,,,,,
82,Class D,Diya Myers,Teacher Harry,,,,,,,,,,,,,
83,Class D,Aimee Foster,Teacher Harry,,,,,,,,,,,,,
84,Class D,Tyrese Gill,Teacher Harry,,,,,,,,,,,,,
85,Class D,Lilian Blackburn,Teacher Harry,,,,,,,,,,,,,
86,Class D,Messiah Foster,Teacher Harry,,,,,,,,,,,,,
87,Class D,Octavio Reese,Teacher Harry,,,,,,,,,,,,,
88,Class D,Julianne Estrada,Teacher Harry,,,,,,,,,,,,,
89,Class D,Derick Hodges,Teacher Harry,,,,,,,,,,,,,
90,Class D,Devyn Swanson,Teacher Harry,,,,,,,,,,,,,
91,Class D,Roy Branch,Teacher Harry,,,,,,,,,,,,,
92,Class D,Saul Whitehead,Teacher Harry,,,,,,,,,,,,,
93,Class D,Bryanna Hernandez,Teacher Harry,,,,,,,,,,,,,
94,Class E,Erik Hampton,Teacher Mary,,,,,,,,,,,,,
95,Class E,Ibrahim Skinner,Teacher Mary,,,,,,,,,,,,,
96,Class E,Fatima Daugherty,Teacher Mary,,,,,,,,,,,,,
97,Class E,Kyan Rojas,Teacher Mary,,,,,,,,,,,,,
98,Class E,Kali Colon,Teacher Mary,,,,,,,,,,,,,
99,Class E,Tatiana Dodson,Teacher Mary,,,,,,,,,,,,,
100,Class E,Alvin Wyatt,Teacher Mary,,,,,,,,,,,,,
101,Class E,Ralph Gomez,Teacher Mary,,,,,,,,,,,,,
102,Class E,Scarlett Whitney,Teacher Mary,,,,,,,,,,,,,
103,Class E,Skye Roman,Teacher Mary,,,,,,,,,,,,,
104,Class E,Kenny Hayden,Teacher Mary,,,,,,,,,,,,,
105,Class E,Jewel Simon,Teacher Mary,,,,,,,,,,,,,
106,Class E,Dane Lawrence,Teacher Mary,,,,,,,,,,,,,
107,Class E,Kaleb Macdonald,Teacher Mary,,,,,,,,,,,,,
108,Class E,Allie Coleman,Teacher Mary,,,,,,,,,,,,,
109,Class E,Reginald Stark,Teacher Mary,,,,,,,,,,,,,
110,Class E,Bronson Munoz,Teacher Mary,,,,,,,,,,,,,
111,Class E,Josephine Hull,Teacher Mary,,,,,,,,,,,,,
112,Class E,Demetrius Holt,Teacher Mary,,,,,,,,,,,,,
113,Class E,Gael Holloway,Teacher Mary,,,,,,,,,,,,,
114,Class E,Hillary Hardin,Teacher Mary,,,,,,,,,,,,,
115,Class E,Clarissa Finley,Teacher Mary,,,,,,,,,,,,,
116,Class E,Mariyah Manning,Teacher Mary,,,,,,,,,,,,,
117,Class E,Camden Meyer,Teacher Mary,,,,,,,,,,,,,
118,Class E,Alec Hancock,Teacher Mary,,,,,,,,,,,,,
119,Class E,Chris Stein,Teacher Mary,,,,,,,,,,,,,
120,Class E,Lewis Pennington,Teacher Mary,,,,,,,,,,,,,
121,Class F,Ximena Haas,Teacher Tom,,,,,,,,,,,,,
122,Class F,Giovanni Barron,Teacher Tom,,,,,,,,,,,,,
123,Class F,Amiah Stevenson,Teacher Tom,,,,,,,,,,,,,
124,Class F,Heaven Hayes,Teacher Tom,,,,,,,,,,,,,
125,Class F,Esperanza Sandoval,Teacher Tom,,,,,,,,,,,,,
126,Class F,Virginia Ellison,Teacher Tom,,,,,,,,,,,,,
127,Class F,Annabella Ramsey,Teacher Tom,,,,,,,,,,,,,
128,Class F,Amirah Hurley,Teacher Tom,,,,,,,,,,,,,
129,Class F,Alan Bolton,Teacher Tom,,,,,,,,,,,,,
130,Class F,Jordan Ortega,Teacher Tom,,,,,,,,,,,,,
131,Class F,Antoine Maldonado,Teacher Tom,,,,,,,,,,,,,
132,Class F,Justice Greene,Teacher Tom,,,,,,,,,,,,,
133,Class F,Reginald Heath,Teacher Tom,,,,,,,,,,,,,
134,Class F,Marcel Garner,Teacher Tom,,,,,,,,,,,,,
135,Class F,Jaida Castro,Teacher Tom,,,,,,,,,,,,,
136,Class F,Briana Potts,Teacher Tom,,,,,,,,,,,,,
137,Class F,Grace Kidd,Teacher Tom,,,,,,,,,,,,,
138,Class F,Mia Tucker,Teacher Tom,,,,,,,,,,,,,
139,Class F,Braylon Glenn,Teacher Tom,,,,,,,,,,,,,
140,Class F,Deon Black,Teacher Tom,,,,,,,,,,,,,
141,Class F,Adam Steele,Teacher Tom,,,,,,,,,,,,,
142,Class F,Skye Carey,Teacher Tom,,,,,,,,,,,,,
143,Class F,Giana Barnes,Teacher Tom,,,,,,,,,,,,,
144,Class F,Abagail Proctor,Teacher Tom,,,,,,,,,,,,,
145,Class F,Clayton Bradshaw,Teacher Tom,,,,,,,,,,,,,
146,Class F,Gwendolyn Velez,Teacher Tom,,,,,,,,,,,,,
147,Class G,Lia Reese,Teacher Max,,,,,,,,,,,,,
148,Class G,Elle Lang,Teacher Max,,,,,,,,,,,,,
149,Class G,Zachery Lang,Teacher Max,,,,,,,,,,,,,
150,Class G,Isabela Booth,Teacher Max,,,,,,,,,,,,,
151,Class G,Annie Cowan,Teacher Max,,,,,,,,,,,,,
152,Class G,Jordyn Glenn,Teacher Max,,,,,,,,,,,,,
153,Class G,Ashtyn Galvan,Teacher Max,,,,,,,,,,,,,
154,Class G,Issac Melendez,Teacher Max,,,,,,,,,,,,,
155,Class G,Giovanni Molina,Teacher Max,,,,,,,,,,,,,
156,Class G,Giovanna Gaines,Teacher Max,,,,,,,,,,,,,
157,Class G,Josh Odonnell,Teacher Max,,,,,,,,,,,,,
158,Class G,Bradyn Cochran,Teacher Max,,,,,,,,,,,,,
159,Class G,Lucas Bean,Teacher Max,,,,,,,,,,,,,
160,Class G,Malik Short,Teacher Max,,,,,,,,,,,,,
161,Class G,Gauge Jarvis,Teacher Max,,,,,,,,,,,,,
162,Class G,Chad Jacobs,Teacher Max,,,,,,,,,,,,,
163,Class G,Carmen Humphrey,Teacher Max,,,,,,,,,,,,,
164,Class G,Austin Cabrera,Teacher Max,,,,,,,,,,,,,
165,Class G,Marcos Bender,Teacher Max,,,,,,,,,,,,,
166,Class G,Katie Scott,Teacher Max,,,,,,,,,,,,,
167,Class G,Katelynn Dougherty,Teacher Max,,,,,,,,,,,,,
168,Class G,Manuel Owen,Teacher Max,,,,,,,,,,,,,
169,Class G,Gabriella Sexton,Teacher Max,,,,,,,,,,,,,
170,Class G,Dillon Shepard,Teacher Max,,,,,,,,,,,,,
171,Class H,Muhammad Gentry,Teacher Mary,,,,,,,,,,,,,
172,Class H,Natalya Rocha,Teacher Mary,,,,,,,,,,,,,
173,Class H,Anastasia Patel,Teacher Mary,,,,,,,,,,,,,
174,Class H,Parker Donovan,Teacher Mary,,,,,,,,,,,,,
175,Class H,Adelaide Andrade,Teacher Mary,,,,,,,,,,,,,
176,Class H,Emmalee Brandt,Teacher Mary,,,,,,,,,,,,,
177,Class H,Addison Pearson,Teacher Mary,,,,,,,,,,,,,
178,Class H,Gilbert Bryan,Teacher Mary,,,,,,,,,,,,,
179,Class H,Myah Carr,Teacher Mary,,,,,,,,,,,,,
180,Class H,Andrea Orozco,Teacher Mary,,,,,,,,,,,,,
181,Class H,Luke Rodriguez,Teacher Mary,,,,,,,,,,,,,
182,Class H,Alanna Boyd,Teacher Mary,,,,,,,,,,,,,
183,Class H,Shayna Morris,Teacher Mary,,,,,,,,,,,,,
184,Class H,Brittany Daniel,Teacher Mary,,,,,,,,,,,,,
185,Class H,Marley Villa,Teacher Mary,,,,,,,,,,,,,
186,Class H,Marlee Christensen,Teacher Mary,,,,,,,,,,,,,
187,Class H,Waylon Hughes,Teacher Mary,,,,,,,,,,,,,
188,Class H,Chance Jacobs,Teacher Mary,,,,,,,,,,,,,
189,Class H,Carissa Spencer,Teacher Mary,,,,,,,,,,,,,
190,Class H,Richard Rojas,Teacher Mary,,,,,,,,,,,,,
191,Class H,Brenton Hanson,Teacher Mary,,,,,,,,,,,,,
192,Class H,Zaire Woodward,Teacher Mary,,,,,,,,,,,,,
193,Class H,Efrain Matthews,Teacher Mary,,,,,,,,,,,,,
194,Class H,Abbey Francis,Teacher Mary,,,,,,,,,,,,,
195,Class H,Valentino Leach,Teacher Mary,,,,,,,,,,,,,
196,Class H,Gregory Chang,Teacher Mary,,,,,,,,,,,,,
197,Class H,Mikayla Freeman,Teacher Mary,,,,,,,,,,,,,
198,Class I,Ben Nichols,Teacher Harry,,,,,,,,,,,,,
199,Class I,Jenny Lam,Teacher Harry,,,,,,,,,,,,,
200,Class I,Julio Tyler,Teacher Harry,,,,,,,,,,,,,
201,Class I,Alannah Newton,Teacher Harry,,,,,,,,,,,,,
202,Class I,Drake Pollard,Teacher Harry,,,,,,,,,,,,,
203,Class I,Rylan Hernandez,Teacher Harry,,,,,,,,,,,,,
204,Class I,Arturo Wright,Teacher Harry,,,,,,,,,,,,,
205,Class I,Tianna Barr,Teacher Harry,,,,,,,,,,,,,
206,Class I,Hailey Mejia,Teacher Harry,,,,,,,,,,,,,
207,Class I,Pablo Ballard,Teacher Harry,,,,,,,,,,,,,
208,Class I,Rodolfo Henson,Teacher Harry,,,,,,,,,,,,,
209,Class I,Noe Ward,Teacher Harry,,,,,,,,,,,,,
210,Class I,Liliana Knox,Teacher Harry,,,,,,,,,,,,,
211,Class I,Jagger Berg,Teacher Harry,,,,,,,,,,,,,
212,Class I,Alexus Blackwell,Teacher Harry,,,,,,,,,,,,,
213,Class I,Yadiel Pratt,Teacher Harry,,,,,,,,,,,,,
214,Class I,Levi Shaffer,Teacher Harry,,,,,,,,,,,,,
215,Class I,Allan Roth,Teacher Harry,,,,,,,,,,,,,
216,Class I,Aubrie Juarez,Teacher Harry,,,,,,,,,,,,,
217,Class I,Dereon Harrington,Teacher Harry,,,,,,,,,,,,,
218,Class I,Amy Maddox,Teacher Harry,,,,,,,,,,,,,
219,Class I,Damaris Christensen,Teacher Harry,,,,,,,,,,,,,
220,Class I,Leon Jarvis,Teacher Harry,,,,,,,,,,,,,
221,Class I,Leila Yu,Teacher Harry,,,,,,,,,,,,,
222,Class I,Mariam Allen,Teacher Harry,,,,,,,,,,,,,
223,Class I,Jack Holt,Teacher Harry,,,,,,,,,,,,,
224,Class I,Elisha Conley,Teacher Harry,,,,,,,,,,,,,
225,Class J,Lucia Pennington,Teacher Tom,,,,,,,,,,,,,
226,Class J,Crystal Ward,Teacher Tom,,,,,,,,,,,,,
227,Class J,Joshua Garrett,Teacher Tom,,,,,,,,,,,,,
228,Class J,Wesley Colon,Teacher Tom,,,,,,,,,,,,,
229,Class J,Skyler Patel,Teacher Tom,,,,,,,,,,,,,
230,Class J,Francisco Haley,Teacher Tom,,,,,,,,,,,,,
231,Class J,Clay Giles,Teacher Tom,,,,,,,,,,,,,
232,Class J,Davion Wong,Teacher Tom,,,,,,,,,,,,,
233,Class J,Emilio Craig,Teacher Tom,,,,,,,,,,,,,
234,Class J,Barrett Madden,Teacher Tom,,,,,,,,,,,,,
235,Class J,Kayden Morton,Teacher Tom,,,,,,,,,,,,,
236,Class J,Arthur Drake,Teacher Tom,,,,,,,,,,,,,
237,Class J,Guillermo Osborn,Teacher Tom,,,,,,,,,,,,,
238,Class J,Maximus Odom,Teacher Tom,,,,,,,,,,,,,
239,Class J,Dayana Chapman,Teacher Tom,,,,,,,,,,,,,
240,Class J,Micheal Hampton,Teacher Tom,,,,,,,,,,,,,
241,Class J,Jaylen Blake,Teacher Tom,,,,,,,,,,,,,
242,Class J,Jordyn Pitts,Teacher Tom,,,,,,,,,,,,,
243,Class J,Kristina Reese,Teacher Tom,,,,,,,,,,,,,
244,Class J,Marlene Romero,Teacher Tom,,,,,,,,,,,,,
245,Class J,Humberto Curtis,Teacher Tom,,,,,,,,,,,,,
246,Class J,Jayvon Watkins,Teacher Tom,,,,,,,,,,,,,
247,Class J,Joseph Mccann,Teacher Tom,,,,,,,,,,,,,
248,Class J,Luke Walker,Teacher Tom,,,,,,,,,,,,,
249,Class J,Maya Trujillo,Teacher Tom,,,,,,,,,,,,,
250,Class J,Maxwell Salinas,Teacher Tom,,,,,,,,,,,,,
251,Class K,Jeramiah Leblanc,Teacher Jane,,,,,,,,,,,,,
252,Class K,Brodie Salas,Teacher Jane,,,,,,,,,,,,,
253,Class K,Lauryn Padilla,Teacher Jane,,,,,,,,,,,,,
254,Class K,Diego Newman,Teacher Jane,,,,,,,,,,,,,
255,Class K,Leticia Leonard,Teacher Jane,,,,,,,,,,,,,
256,Class K,Mathew Sanford,Teacher Jane,,,,,,,,,,,,,
257,Class K,Regan Pope,Teacher Jane,,,,,,,,,,,,,
258,Class K,Shelby Brennan,Teacher Jane,,,,,,,,,,,,,
259,Class K,Valentina Le,Teacher Jane,,,,,,,,,,,,,
260,Class K,Quinten Ponce,Teacher Jane,,,,,,,,,,,,,
261,Class K,Anderson Holland,Teacher Jane,,,,,,,,,,,,,
262,Class K,Sara Everett,Teacher Jane,,,,,,,,,,,,,
263,Class K,Myah Reid,Teacher Jane,,,,,,,,,,,,,
264,Class K,Pedro Combs,Teacher Jane,,,,,,,,,,,,,
265,Class K,Summer Reid,Teacher Jane,,,,,,,,,,,,,
266,Class K,Keyon Robertson,Teacher Jane,,,,,,,,,,,,,
267,Class K,Riya Boyle,Teacher Jane,,,,,,,,,,,,,
268,Class K,Theresa Woodard,Teacher Jane,,,,,,,,,,,,,
269,Class K,Matias Lester,Teacher Jane,,,,,,,,,,,,,
270,Class K,Cheyanne Gilbert,Teacher Jane,,,,,,,,,,,,,
271,Class K,Iris Mcdaniel,Teacher Jane,,,,,,,,,,,,,
272,Class K,Eddie Henson,Teacher Jane,,,,,,,,,,,,,
273,Class K,Dayanara Sutton,Teacher Jane,,,,,,,,,,,,,
274,Class K,Linda Leonard,Teacher Jane,,,,,,,,,,,,,
275,Class L,Davon Mccormick,Teacher Harry,,,,,,,,,,,,,
276,Class L,Wade Sloan,Teacher Harry,,,,,,,,,,,,,
277,Class L,Elena Johns,Teacher Harry,,,,,,,,,,,,,
278,Class L,Jamie Mccoy,Teacher Harry,,,,,,,,,,,,,
279,Class L,Roland Reeves,Teacher Harry,,,,,,,,,,,,,
280,Class L,Francisco Campbell,Teacher Harry,,,,,,,,,,,,,
281,Class L,Koen Craig,Teacher Harry,,,,,,,,,,,,,
282,Class L,Estrella Bray,Teacher Harry,,,,,,,,,,,,,
283,Class L,Memphis Barajas,Teacher Harry,,,,,,,,,,,,,
284,Class L,Alexander Archer,Teacher Harry,,,,,,,,,,,,,
285,Class L,Alissa Flynn,Teacher Harry,,,,,,,,,,,,,
286,Class L,Reilly Stuart,Teacher Harry,,,,,,,,,,,,,
287,Class L,Bianca Keller,Teacher Harry,,,,,,,,,,,,,
288,Class L,Easton Mata,Teacher Harry,,,,,,,,,,,,,
289,Class L,Leo Brown,Teacher Harry,,,,,,,,,,,,,
290,Class L,Amiah Berger,Teacher Harry,,,,,,,,,,,,,
291,Class L,Haley Cochran,Teacher Harry,,,,,,,,,,,,,
292,Class L,Lauryn Arroyo,Teacher Harry,,,,,,,,,,,,,
293,Class L,Ellis Valencia,Teacher Harry,,,,,,,,,,,,,
294,Class L,Mathew Byrd,Teacher Harry,,,,,,,,,,,,,
295,Class L,Kadyn Vasquez,Teacher Harry,,,,,,,,,,,,,
296,Class L,Walter Thompson,Teacher Harry,,,,,,,,,,,,,
297,Class L,Jadyn Dunn,Teacher Harry,,,,,,,,,,,,,
298,Class L,Bruno Marshall,Teacher Harry,,,,,,,,,,,,,
299,Class L,Alexus Mcintyre,Teacher Harry,,,,,,,,,,,,,
300,Class L,Coby Guerrero,Teacher Harry,,,,,,,,,,,,,
301,Class L,Alice Camacho,Teacher Harry,,,,,,,,,,,,,
302,Class L,Carlo Harrison,Teacher Harry,,,,,,,,,,,,,
303,Class M,Rey Caldwell,Teacher Max,,,,,,,,,,,,,
304,Class M,Abram Villarreal,Teacher Max,,,,,,,,,,,,,
305,Class M,Allie Stein,Teacher Max,,,,,,,,,,,,,
306,Class M,Samuel Lawrence,Teacher Max,,,,,,,,,,,,,
307,Class M,Madisyn Harding,Teacher Max,,,,,,,,,,,,,
308,Class M,Taniya Smith,Teacher Max,,,,,,,,,,,,,
309,Class M,Aliyah Kane,Teacher Max,,,,,,,,,,,,,
310,Class M,Kenyon Bowers,Teacher Max,,,,,,,,,,,,,
311,Class M,Reyna Baldwin,Teacher Max,,,,,,,,,,,,,
312,Class M,Cory Sawyer,Teacher Max,,,,,,,,,,,,,
313,Class M,Kaleb Callahan,Teacher Max,,,,,,,,,,,,,
314,Class M,Javon Ford,Teacher Max,,,,,,,,,,,,,
315,Class M,Callie Mays,Teacher Max,,,,,,,,,,,,,
316,Class M,Kyla Castillo,Teacher Max,,,,,,,,,,,,,
317,Class M,Brenna Burch,Teacher Max,,,,,,,,,,,,,
318,Class M,Collin Horton,Teacher Max,,,,,,,,,,,,,
319,Class M,Abram Heath,Teacher Max,,,,,,,,,,,,,
320,Class M,Mareli Gross,Teacher Max,,,,,,,,,,,,,
321,Class M,Gillian Townsend,Teacher Max,,,,,,,,,,,,,
322,Class M,Shayla Carlson,Teacher Max,,,,,,,,,,,,,
323,Class M,Yahir Small,Teacher Max,,,,,,,,,,,,,
324,Class M,Kaydence Briggs,Teacher Max,,,,,,,,,,,,,
325,Class M,Grace Baldwin,Teacher Max,,,,,,,,,,,,,
326,Class M,Johnny Glenn,Teacher Max,,,,,,,,,,,,,
327,Class M,Janiah Burnett,Teacher Max,,,,,,,,,,,,,
328,Class M,Karley Whitaker,Teacher Max,,,,,,,,,,,,,
329,Class M,Pranav Carney,Teacher Max,,,,,,,,,,,,,
330,Class M,Cody Wall,Teacher Max,,,,,,,,,,,,,
331,Class N,Mylee Reilly,Teacher Jane,,,,,,,,,,,,,
332,Class N,Madalyn Johnston,Teacher Jane,,,,,,,,,,,,,
333,Class N,Alvaro Byrd,Teacher Jane,,,,,,,,,,,,,
334,Class N,Raymond Bolton,Teacher Jane,,,,,,,,,,,,,
335,Class N,Delaney Dominguez,Teacher Jane,,,,,,,,,,,,,
336,Class N,Noel Schaefer,Teacher Jane,,,,,,,,,,,,,
337,Class N,Leah Howard,Teacher Jane,,,,,,,,,,,,,
338,Class N,Darian Pugh,Teacher Jane,,,,,,,,,,,,,
339,Class N,Leland Small,Teacher Jane,,,,,,,,,,,,,
340,Class N,Danna Rodgers,Teacher Jane,,,,,,,,,,,,,
341,Class N,Chris Ochoa,Teacher Jane,,,,,,,,,,,,,
342,Class N,Xander Hendricks,Teacher Jane,,,,,,,,,,,,,
343,Class N,Salvatore Mcknight,Teacher Jane,,,,,,,,,,,,,
344,Class N,Reagan Reeves,Teacher Jane,,,,,,,,,,,,,
345,Class N,Mckayla Clay,Teacher Jane,,,,,,,,,,,,,
346,Class N,Ronin Austin,Teacher Jane,,,,,,,,,,,,,
347,Class N,Layne Chen,Teacher Jane,,,,,,,,,,,,,
348,Class N,Bryson Salazar,Teacher Jane,,,,,,,,,,,,,
349,Class N,Rory Stone,Teacher Jane,,,,,,,,,,,,,
350,Class N,Lina Mayo,Teacher Jane,,,,,,,,,,,,,
351,Class N,Elise Finley,Teacher Jane,,,,,,,,,,,,,
352,Class N,Kendall Wolf,Teacher Jane,,,,,,,,,,,,,
353,Class N,Salvatore Trevino,Teacher Jane,,,,,,,,,,,,,
354,Class N,Gabriela Dickerson,Teacher Jane,,,,,,,,,,,,,
355,Class N,Jaliyah Norman,Teacher Jane,,,,,,,,,,,,,
356,Class N,Cristofer Williams,Teacher Jane,,,,,,,,,,,,,
357,Class N,Lilah Paul,Teacher Jane,,,,,,,,,,,,,
358,Class O,Miya Kaufman,Teacher Albert,,,,,,,,,,,,,
359,Class O,Monica Bowers,Teacher Albert,,,,,,,,,,,,,
360,Class O,Gabriel Delgado,Teacher Albert,,,,,,,,,,,,,
361,Class O,Sylvia Hooper,Teacher Albert,,,,,,,,,,,,,
362,Class O,Craig Cherry,Teacher Albert,,,,,,,,,,,,,
363,Class O,Charity Goodwin,Teacher Albert,,,,,,,,,,,,,
364,Class O,Meadow Zimmerman,Teacher Albert,,,,,,,,,,,,,
365,Class O,Donovan Walter,Teacher Albert,,,,,,,,,,,,,
366,Class O,Dwayne Saunders,Teacher Albert,,,,,,,,,,,,,
367,Class O,Jorden Norton,Teacher Albert,,,,,,,,,,,,,
368,Class O,Anabella Chase,Teacher Albert,,,,,,,,,,,,,
369,Class O,London Velez,Teacher Albert,,,,,,,,,,,,,
370,Class O,Cassius Wang,Teacher Albert,,,,,,,,,,,,,
371,Class O,Phillip Graves,Teacher Albert,,,,,,,,,,,,,
372,Class O,Darion Velazquez,Teacher Albert,,,,,,,,,,,,,
373,Class O,Taliyah Eaton,Teacher Albert,,,,,,,,,,,,,
374,Class O,Dereon Mayo,Teacher Albert,,,,,,,,,,,,,
375,Class O,Elizabeth Holden,Teacher Albert,,,,,,,,,,,,,
376,Class O,Zoe Frost,Teacher Albert,,,,,,,,,,,,,
377,Class O,Gwendolyn Savage,Teacher Albert,,,,,,,,,,,,,
378,Class O,Lyric Le,Teacher Albert,,,,,,,,,,,,,
379,Class O,Chris Douglas,Teacher Albert,,,,,,,,,,,,,
380,Class O,Jamison Bass,Teacher Albert,,,,,,,,,,,,,
381,Class O,Lawson Mccarty,Teacher Albert,,,,,,,,,,,,,
