New Reg No,Class,StudentName,TeacherName,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Total Mark,Grade
67,Class C,Dustin Richard,Teacher Mary,23,23,23,24,24,25,26,23,22,21,21,30,
68,Class C,Kaya Bernard,Teacher Mary,24,24,24,25,25,26,27,24,23,22,22,31,
94,Class E,Erik Hampton,Teacher Mary,25,25,25,26,26,27,28,25,24,23,23,32,
95,Class E,Ibrahim Skinner,Teacher Mary,26,26,26,27,27,28,29,26,25,24,24,33,
96,Class E,Fatima Daugherty,Teacher Mary,27,27,27,28,28,29,30,27,26,25,25,34,
97,Class E,Kyan Rojas,Teacher Mary,28,28,28,29,29,30,31,28,27,26,26,35,
98,Class E,Kali Colon,Teacher Mary,2,2,2,3,3,4,5,2,1,0,0,9,
99,Class E,Tatiana Dodson,Teacher Mary,3,3,3,4,4,5,6,3,2,1,1,10,
100,Class E,Alvin Wyatt,Teacher Mary,4,4,4,5,5,6,7,4,3,2,2,11,
101,Class E,Ralph Gomez,Teacher Mary,5,5,5,6,6,7,8,5,4,3,3,12,
102,Class E,Scarlett Whitney,Teacher Mary,6,6,6,7,7,8,9,6,5,4,4,13,
103,Class E,Skye Roman,Teacher Mary,7,7,7,8,8,9,10,7,6,5,5,14,
104,Class E,Kenny Hayden,Teacher Mary,8,8,8,9,9,10,11,8,7,6,6,15,
105,Class E,Jewel Simon,Teacher Mary,9,9,9,10,10,11,12,9,8,7,7,16,
106,Class E,Dane Lawrence,Teacher Mary,10,10,10,11,11,12,13,10,9,8,8,17,
107,Class E,Kaleb Macdonald,Teacher Mary,11,11,11,12,12,13,14,11,10,9,9,18,
108,Class E,Allie Coleman,Teacher Mary,12,12,12,13,13,14,15,12,11,10,10,19,
109,Class E,Reginald Stark,Teacher Mary,13,13,13,14,14,15,16,13,12,11,11,20,
110,Class E,Bronson Munoz,Teacher Mary,14,14,14,15,15,16,17,14,13,12,12,21,
111,Class E,Josephine Hull,Teacher Mary,15,15,15,16,16,17,18,15,14,13,13,22,
112,Class E,Demetrius Holt,Teacher Mary,16,16,16,17,17,18,19,16,15,14,14,23,
113,Class E,Gael Holloway,Teacher Mary,17,17,17,18,18,19,20,17,16,15,15,24,
114,Class E,Hillary Hardin,Teacher Mary,18,18,18,19,19,20,21,18,17,16,16,25,
115,Class E,Clarissa Finley,Teacher Mary,19,19,19,20,20,21,22,19,18,17,17,26,
116,Class E,Mariyah Manning,Teacher Mary,20,20,20,21,21,22,23,20,19,18,18,27,
117,Class E,Camden Meyer,Teacher Mary,21,21,21,22,22,23,24,21,20,19,19,28,
118,Class E,Alec Hancock,Teacher Mary,22,22,22,23,23,24,25,22,21,20,20,29,
119,Class E,Chris Stein,Teacher Mary,23,23,23,24,24,25,26,23,22,21,21,30,
120,Class E,Lewis Pennington,Teacher Mary,24,24,24,25,25,26,27,24,23,22,22,31,
171,Class H,Muhammad Gentry,Teacher Mary,25,25,25,26,26,27,28,25,24,23,23,32,
172,Class H,Natalya Rocha,Teacher Mary,26,26,26,27,27,28,29,26,25,24,24,33,
173,Class H,Anastasia Patel,Teacher Mary,27,27,27,28,28,29,30,27,26,25,25,34,
174,Class H,Parker Donovan,Teacher Mary,28,28,28,29,29,30,31,28,27,26,26,35,
175,Class H,Adelaide Andrade,Teacher Mary,29,29,29,30,30,31,32,29,28,27,27,36,
176,Class H,Emmalee Brandt,Teacher Mary,30,30,30,31,31,32,33,30,29,28,28,37,
177,Class H,Addison Pearson,Teacher Mary,31,31,31,32,32,33,34,31,30,29,29,38,
178,Class H,Gilbert Bryan,Teacher Mary,32,32,32,33,33,34,35,32,31,30,30,39,
179,Class H,Myah Carr,Teacher Mary,33,33,33,34,34,35,36,33,32,31,31,40,
180,Class H,Andrea Orozco,Teacher Mary,34,34,34,35,35,36,37,34,33,32,32,41,
181,Class H,Luke Rodriguez,Teacher Mary,35,35,35,36,36,37,38,35,34,33,33,42,
182,Class H,Alanna Boyd,Teacher Mary,36,37,38,39,40,41,42,43,44,45,46,47,
183,Class H,Shayna Morris,Teacher Mary,9,5,4,2,5,9,10,0,0,0,0,5,
184,Class H,Brittany Daniel,Teacher Mary,10,6,5,3,6,10,11,1,1,1,1,6,
185,Class H,Marley Villa,Teacher Mary,11,7,6,4,7,11,12,2,2,2,2,7,
186,Class H,Marlee Christensen,Teacher Mary,12,8,7,5,8,12,13,3,3,3,3,8,
187,Class H,Waylon Hughes,Teacher Mary,13,9,8,6,9,13,14,4,4,4,4,9,
188,Class H,Chance Jacobs,Teacher Mary,14,10,9,7,10,14,15,5,5,5,5,10,
189,Class H,Carissa Spencer,Teacher Mary,15,11,10,8,11,15,16,6,6,6,6,11,
190,Class H,Richard Rojas,Teacher Mary,16,12,11,9,12,16,17,7,7,7,7,12,
191,Class H,Brenton Hanson,Teacher Mary,17,13,12,10,13,17,18,8,8,8,8,13,
192,Class H,Zaire Woodward,Teacher Mary,18,14,13,11,14,18,19,9,9,9,9,14,
193,Class H,Efrain Matthews,Teacher Mary,19,15,14,12,15,19,20,10,10,10,10,15,
194,Class H,Abbey Francis,Teacher Mary,20,16,15,13,16,20,21,11,11,11,11,16,
195,Class H,Valentino Leach,Teacher Mary,21,17,16,14,17,21,22,12,12,12,12,17,
196,Class H,Gregory Chang,Teacher Mary,22,18,17,15,18,22,23,13,13,13,13,18,
197,Class H,Mikayla Freeman,Teacher Mary,23,19,18,16,19,23,24,14,14,14,14,19,
